id,l1-in,l1-out,l2-in,l2-out,l3-in,l3-out,name,capacity,
88,20046_900268,900268_20046,900268_900269,900269_900268,900269_22256,22256_900269,Essendon,452,
191,20083_900270,900270_20083,900270_900271,900271_900270,900271_22300,22300_900271,Regent,171,
192,20050_900272,900272_20050,900272_900273,900273_900272,900273_22301,22301_900273,Reservoir,405,
194,20074_900274,900274_20074,900274_900275,900275_900274,900275_22018,22018_900275,Ringwood,657,
195,20013_900276,900276_20013,900276_900277,900277_900276,900277_22019,22019_900277,Ringwood East,220,
196,20200_900278,900278_20200,900278_900279,900279_900278,900279_22161,22161_900279,Ripponlea,93,
230,20082_900000,900000_20082,900000_900001,900001_900000,900001_22304,22304_900001,Thomastown,375,
197,20136_900280,900280_20136,900280_900281,900281_900280,900281_22051,22051_900281,Riversdale,96,
231,20203_900002,900002_20203,900002_900003,900003_900002,900003_22297,22297_900003,Thornbury,98,
111,20018_900004,900004_20018,900004_900005,900005_900004,900005_22017,22017_900005,Heatherdale,329,
232,20101_900006,900006_20101,900006_900007,900007_900006,900007_22420,22420_900007,Toolern East,210,
112,20138_900008,900008_20138,900008_900009,900009_900008,900009_22038,22038_900009,Heathmont,114,
233,20103_900010,900010_20103,900010_900011,900011_900010,900011_22511,22511_900011,Toolern,210,
113,20051_900012,900012_20051,900012_900013,900013_900012,900013_22319,22319_900013,Heidelberg,276,
234,20090_900014,900014_20090,900014_900015,900015_900014,900015_22064,22064_900015,Tooronga,141,
114,20186_900016,900016_20186,900016_900017,900017_900016,900017_22126,22126_900017,Highett,94,
235,20275_900018,900018_20275,900018_900019,900019_900018,900019_22231,22231_900019,Tottenham,275,
115,20088_900020,900020_20088,900020_900021,900021_900020,900021_22069,22069_900021,Holmesglen,143,
238,20124_900022,900022_20124,900022_900023,900023_900022,900023_22603,22603_900023,Truganina,0,
90,20132_900282,900282_20132,900282_900283,900283_900282,900283_22314,22314_900283,Fairfield,150,
118,20095_900024,900024_20095,900024_900025,900025_900024,900025_22091,22091_900025,Hughesdale,121,
239,20172_900026,900026_20172,900026_900027,900027_900026,900027_22142,22142_900027,Tyabb,210,
91,20056_900284,900284_20056,900284_900285,900285_900284,900285_22041,22041_900285,Ferntree Gully,246,
119,20025_900028,900028_20025,900028_900029,900029_900028,900029_22093,22093_900029,Huntingdale,596,
92,20037_900286,900286_20037,900286_900287,900287_900286,900287_22195,22195_900287,Footscray,552,
93,20036_900288,900288_20036,900288_900289,900289_900288,900289_22137,22137_900289,Frankston,593,
94,20146_900290,900290_20146,900290_900291,900291_900290,900291_22065,22065_900291,Gardiner,130,
95,20161_900292,900292_20161,900292_900293,900293_900292,900293_22108,22108_900293,Garfield,210,
97,20042_900294,900294_20042,900294_900295,900295_900294,900295_22353,22353_900295,Ginifer,208,
99,20022_900296,900296_20022,900296_900297,900297_900296,900297_22073,22073_900297,Glen Waverley,719,
15,20170_900030,900030_20170,900030_900031,900031_900030,900031_22140,22140_900031,Baxter,210,
16,20054_900032,900032_20054,900032_900033,900033_900032,900033_22039,22039_900033,Bayswater,275,
18,20181_900034,900034_20181,900034_900035,900035_900034,900035_22103,22103_900035,Beaconsfield,150,
240,20160_900036,900036_20160,900036_900037,900037_900036,900037_22083,22083_900037,Tynong,210,
241,20274_900038,900038_20274,900038_900039,900039_900038,900039_22285,22285_900039,Upfield,109,
121,20052_900040,900040_20052,900040_900041,900041_900040,900041_22317,22317_900041,Ivanhoe,217,
1,20277_900042,900042_20277,900042_900043,900043_900042,900043_22220,22220_900043,Aircraft,135,
